category,skill,BittleESP,BittleESP_arm,NybbleESP,Quaddle
步态,backScoot,,,,Y
步态,bbbk,,,,Y
步态,bd,,,Y,
步态,bdF,Y,Y,,Y
步态,bk,Y,Y,Y,
步态,bkArmF,Y,Y,,
步态,bkArmL,Y,Y,,
步态,bkF,Y,Y,Y,Y
步态,bkL,Y,Y,Y,Y
步态,carpetF,Y,Y,,
步态,carpetL,Y,Y,,
步态,ceiling,,,,
步态,crArmF,Y,Y,,
步态,crArmL,Y,Y,,
步态,crF,Y,Y,Y,Y
步态,crL,Y,Y,Y,Y
步态,dragWkF,,,,Y
步态,gallop,,,,Y
步态,gpF,Y,Y,,
步态,gpL,Y,Y,,
步态,hlw,Y,Y,,
步态,jpF,Y,Y,,
步态,lftF,Y,Y,,
步态,lftL,Y,Y,,
步态,marchF,,,,Y
步态,phF,Y,Y,,
步态,phL,Y,Y,,
步态,tiptoeF,,,,Y
步态,trArmF,Y,Y,,
步态,trArmL,Y,Y,,
步态,trB,,,,Y
步态,trF,Y,Y,Y,Y
步态,trL,Y,Y,Y,Y
步态,vt90L,,,,Y
步态,vtArmF,Y,Y,,
步态,vtF,Y,Y,Y,
步态,vtL,Y,Y,Y,Y
步态,wkArmF,Y,Y,,
步态,wkArmL,Y,Y,,
步态,wkB,,,,Y
步态,wkF,Y,Y,Y,Y
步态,wkL,Y,Y,Y,Y
姿势,balance,Y,Y,Y,Y
姿势,buttUp,Y,Y,Y,Y
姿势,calib,Y,Y,Y,Y
姿势,dropped,Y,Y,Y,Y
姿势,lifted,Y,Y,Y,Y
姿势,lnd,Y,Y,,
姿势,lu,,,Y,
姿势,rest,Y,Y,Y,Y
姿势,sit,Y,Y,Y,Y
姿势,str,Y,Y,Y,Y
姿势,up,Y,Y,Y,Y
姿势,zero,Y,Y,Y,Y
behavior,ang,Y,Y,Y,
behavior,bf,Y,,,Y
behavior,bx,Y,Y,Y,
behavior,chr,Y,Y,Y,
behavior,ck,Y,Y,Y,
behavior,clap,Y,Y,,
behavior,cmh,Y,Y,Y,
behavior,dg,Y,Y,Y,
behavior,dropRec,Y,Y,Y,
behavior,ff,Y,,,Y
behavior,fiv,Y,Y,Y,
behavior,flip,Y,,,
behavior,flipD,Y,,,
behavior,flipF,Y,,,
behavior,flipRoll,,,,
behavior,gdb,Y,Y,Y,
behavior,glide,,,,
behavior,hds,Y,Y,Y,Y
behavior,headToss,,,Y,
behavior,hg,Y,Y,Y,
behavior,hi,Y,Y,Y,Y
behavior,highbar,,,,Y
behavior,hsk,Y,Y,Y,Y
behavior,hu,Y,Y,Y,
behavior,hunt,Y,Y,Y,
behavior,jmp,Y,Y,,
behavior,jumpSlide,,,,Y
behavior,kc,Y,Y,Y,
behavior,knock,,,Y,
behavior,launch,Y,Y,,
behavior,lkPaws,,,Y,
behavior,lpov,Y,Y,,
behavior,lucky,,,Y,
behavior,mw,Y,Y,,
behavior,nd,Y,Y,Y,
behavior,pd,Y,Y,Y,Y
behavior,pd2,,,,Y
behavior,pee,Y,Y,Y,Y
behavior,pick,Y,Y,,
behavior,pickD,Y,Y,,
behavior,pickF,Y,Y,,
behavior,pu,Y,Y,Y,
behavior,pu1,Y,Y,,
behavior,put,Y,Y,,
behavior,putD,Y,Y,,
behavior,putF,Y,Y,,
behavior,rc,Y,Y,Y,Y
behavior,rc2,,,,Y
behavior,rcL,,,,Y
behavior,rl,Y,,,
behavior,scrh,Y,Y,Y,
behavior,showOff,Y,Y,,
behavior,snf,Y,Y,Y,
behavior,stand,,,Y,
behavior,step3,,,,
behavior,tbl,Y,Y,Y,
behavior,toss,Y,Y,,
behavior,tossD,Y,Y,,
behavior,tossF,Y,Y,,
behavior,ts,Y,Y,Y,
behavior,wh,Y,Y,Y,
behavior,wsf,,,Y,
behavior,zz,Y,Y,,
