group,show,skill,command,label,Bittle,BittleX+Arm,Nybble,Quaddle,note
walking,显示,vtF,kvtF,原地踏步,Y,Y,Y,,现有菜单
walking,显示,vtL,kvtL,左旋,Y,Y,Y,Y,现有菜单
walking,显示,vtL,kvtR,右旋,Y,Y,Y,Y,镜像 vtL
walking,显示,wkF,kwkF,向前走,Y,Y,Y,Y,现有菜单
walking,显示,wkL,kwkL,向左走,Y,Y,Y,Y,现有菜单
walking,显示,wkL,kwkR,向右走,Y,Y,Y,Y,镜像 wkL
walking,显示,bkF,kbkF,向后走,Y,Y,Y,Y,现有菜单
walking,显示,bkL,kbkL,向左后走,Y,Y,Y,Y,现有菜单
walking,显示,bkL,kbkR,向右后走,Y,Y,Y,Y,镜像 bkL
walking,显示,trF,ktrF,向前跑,Y,Y,Y,Y,现有菜单
walking,显示,trL,ktrL,向左跑,Y,Y,Y,Y,现有菜单
walking,显示,trL,ktrR,向右跑,Y,Y,Y,Y,镜像 trL
walking,显示,crF,kcrF,向前爬,Y,Y,Y,Y,现有菜单
walking,显示,crL,kcrL,向左爬,Y,Y,Y,Y,现有菜单
walking,显示,crL,kcrR,向右爬,Y,Y,Y,Y,镜像 crL
walking,显示,gpF,kgpF,向前跨,Y,Y,,,现有菜单
walking,显示,gpL,kgpL,向左跨,Y,Y,,,现有菜单
walking,显示,gpL,kgpR,向右跨,Y,Y,,,镜像 gpL
walking,显示,phF,kphF,向前推,Y,Y,,,现有菜单
walking,显示,phL,kphL,向左推,Y,Y,,,现有菜单
walking,显示,phL,kphR,向右推,Y,Y,,,镜像 phL；现有菜单没有这一项，建议补上
walking,显示,mw,kmw,太空步,Y,Y,,,现有菜单放在 walking。固件 period 实际是 behavior
walking,显示,bdF,kbdF,向前蹦,Y,Y,,Y,
walking,显示,carpetF,kcarpetF,地毯向前,Y,Y,,,
walking,显示,carpetL,kcarpetL,地毯向左,Y,Y,,,
walking,显示,carpetL,kcarpetR,地毯向右,Y,Y,,,镜像 carpetL
walking,显示,hlw,khlw,小步（服装步态）,Y,Y,,,
walking,显示,jpF,kjpF,向前跳（步态）,Y,Y,,,与 behavior 的 jmp 不是同一个技能
walking,显示,lftF,klftF,抬腿向前,Y,Y,,,
walking,显示,lftL,klftL,抬腿向左,Y,Y,,,
walking,显示,lftL,klftR,抬腿向右,Y,Y,,,镜像 lftL
model special moves,显示,backScoot,kbackScoot,后蹭,,,,Y,仅 Quaddle
